"","Ensembl_ID","gene_name","log2FoldChange","pvalue","padj"
"458","ENSG00000269897,5","COMMD3-BMI1",-1.9198205970755,0.0428564323337666,0.948805887557984
"533","ENSG00000215452,5","ZNF663P",-1.78447380655526,0.107055523973253,0.99995172576059
"558","ENSG00000243207,6","PPAN-P2RY11",-1.73687280263348,0.107133475406067,0.99995172576059
"631","ENSG00000196335,13","STK31",-1.63723027090079,0.0365398579260892,0.913950683303873
"632","ENSG00000197614,11","MFAP5",-1.63626331110049,0.00577472422483574,0.482059215836382
"953","ENSG00000064787,13","BCAS1",-1.26087121860549,0.0032869331892174,0.394520818738229
"992","ENSG00000164161,10","HHIP",-1.22787852764546,0.117744863008925,0.99995172576059
"1238","ENSG00000250579,2","ADAMTS16-DT",-1.05502744526668,0.0251937187665228,0.839147464544285
"1341","ENSG00000001617,12","SEMA3F",-0.999529924752069,0.00895606534096049,0.585490131903823
"1403","ENSG00000169174,11","PCSK9",-0.971110333679845,0.0156239190121653,0.722769003469021
"1563","ENSG00000277200,1","CCDC92B",-0.885797322377686,0.174161447139653,0.99995172576059
"1705","ENSG00000168679,18","SLC16A4",-0.822973420192466,0.0709457985631986,0.99995172576059
"2726","ENSG00000235655,3","H3P6",-0.543211872122329,0.164934837143881,0.99995172576059
"18660","ENSG00000112297,18","CRYBG1",0.374222639123041,0.541514954008896,0.99995172576059
"19121","ENSG00000205038,12","PKHD1L1",0.438255578253332,0.24410364181978,0.99995172576059
"20338","ENSG00000279192,1","PWAR5",0.727931809368968,0.752417832879562,0.99995172576059
"20732","ENSG00000274012,1","RN7SL2",0.870205024770991,0.0151967522202917,0.715827301518339
"20992","ENSG00000174640,15","SLCO2A1",1.00368783150154,0.0701187602143632,0.99995172576059
"21017","ENSG00000129204,17","USP6",1.01586871765864,0.00209512068815903,0.339577772850886
"21052","ENSG00000007314,12","SCN4A",1.04070694176181,0.0298118191439047,0.87016040672932
"21259","ENSG00000241563,4","CORT",1.18474021808813,0.537295408824978,0.99995172576059
"21331","ENSG00000179094,16","PER1",1.24665780290753,2.64617086876529e-06,0.00652869157121481
"21445","ENSG00000164142,16","FHIP1A",1.34794461689895,0.011393099412582,0.6372387215526
"21448","ENSG00000041982,16","TNC",1.3498621839628,0.0313728257684251,0.875167834406885
"21466","ENSG00000215032,2","GNL3LP1",1.36479425175816,0.128290475286919,0.99995172576059
"21823","ENSG00000250423,2","KIAA1210",1.85813638759243,0.00492393461381996,0.456759379860259
"21942","ENSG00000115290,10","GRB14",2.17488835101667,0.000314776802942519,0.124814623381047
"22006","ENSG00000090339,9","ICAM1",2.401405316454,0.00712388082918872,0.530824744336025
"22086","ENSG00000151062,15","CACNA2D4",2.78934826560373,3.8464911798173e-06,0.00854113366478431
"22110","ENSG00000270136,6","MICOS10-NBL1",2.99124692635968,9.79607774122527e-09,0.000217521906243907
"22135","ENSG00000244563,1","RPS26P19",3.40159213297199,0.315270414318629,0.99995172576059
"22144","ENSG00000205312,8","KRT17P4",3.53184049911803,0.021509965957823,0.800048231312327
"22160","ENSG00000205215,8","KRT17P7",3.76427925325868,0.00307376134414885,0.379611609477496
