"","Ensembl_ID","gene_name","log2FoldChange","pvalue","padj"
"22","ENSG00000179094,16","PER1",1.008891027,0.000111129,0.433663763
"25","ENSG00000118523,6","CCN2",0.825176806,0.000163929,0.534258398
"33","ENSG00000129204,17","USP6",1.080398051,0.000629812,1
"47","ENSG00000197614,11","MFAP5",-1.73406597,0.000916749,1
"58","ENSG00000064787,13","BCAS1",-1.269962716,0.001166694,1
"63","ENSG00000270136,6","MICOS10-NBL1",1.97465966,0.001323139,1
"115","ENSG00000162772,17","ATF3",0.804787651,0.00236967,1
"142","ENSG00000084444,14","FAM234B",-0.76279251,0.003353459,1
"159","ENSG00000151062,15","CACNA2D4",2.231014857,0.003925322,1
"224","ENSG00000250423,2","KIAA1210",1.877151927,0.006206377,1
"238","ENSG00000115290,10","GRB14",1.395820077,0.006923493,1
"239","ENSG00000254996,5","ANKHD1-EIF4EBP3",-0.57757811,0.007111091,1
"242","ENSG00000065609,14","SNAP91",-0.977064997,0.007298704,1
"293","ENSG00000205215,8","KRT17P7",3.75067797,0.009205875,1
"301","ENSG00000090339,9","ICAM1",1.157396373,0.009928388,1
"312","ENSG00000148426,13","PROSER2",1.067543234,0.010266103,1
"353","ENSG00000116748,21","AMPD1",1.16177278,0.012769382,1
"364","ENSG00000175445,17","LPL",-0.759866409,0.013100038,1
"370","ENSG00000168386,18","FILIP1L",0.590578379,0.013504549,1
"371","ENSG00000134531,10","EMP1",0.455406368,0.013716835,1
"470","ENSG00000177291,4","GJD4",1.109983613,0.018111096,1
"478","ENSG00000111305,19","GSG1",-2.362122927,0.019580022,1
"499","ENSG00000123358,20","NR4A1",0.927668382,0.020599758,1
"530","ENSG00000109061,10","MYH1",-1.644769487,0.021967403,1
"549","ENSG00000134107,5","BHLHE40",0.848770611,0.022587437,1
"566","ENSG00000171189,17","GRIK1",1.046026579,0.024055786,1
"624","ENSG00000149970,16","CNKSR2",-0.889380148,0.026828379,1
"656","ENSG00000152784,16","PRDM8",-0.567838147,0.028100608,1
"677","ENSG00000163362,11","INAVA",-0.70757592,0.029318143,1
"703","ENSG00000100344,11","PNPLA3",-0.65811843,0.030331231,1
"876","ENSG00000177606,8","JUN",0.496511192,0.038444093,1
"1021","ENSG00000136099,13","PCDH8",-0.648737228,0.044509121,1
"1046","ENSG00000153162,9","BMP6",0.689389417,0.046496279,1
"1173","ENSG00000171476,22","HOPX",0.868363064,0.052712002,1
"1201","ENSG00000140795,13","MYLK3",0.867878166,0.054218809,1
"1303","ENSG00000008516,18","MMP25",1.091990695,0.058852158,1
"1350","ENSG00000101306,11","MYLK2",0.9408173,0.061557375,1
"1363","ENSG00000144655,15","CSRNP1",0.746401642,0.062333834,1
"1408","ENSG00000145358,6","DDIT4L",0.765105153,0.064488502,1
"1625","ENSG00000132207,18","SLX1A",0.939015273,0.075027922,1
"1630","ENSG00000185477,5","GPRIN3",-0.630380448,0.075570021,1
"1648","ENSG00000168398,7","BDKRB2",0.80586817,0.076211377,1
"1673","ENSG00000197106,7","SLC6A17",-1.484724422,0.07727247,1
"1682","ENSG00000205929,11","C21orf62",-0.627534186,0.077502585,1
"1795","ENSG00000128342,5","LIF",1.340742517,0.082830418,1
"2148","ENSG00000163017,14","ACTG2",0.531605582,0.097570593,1
"2162","ENSG00000185710,9","SMG1P4",1.058950956,0.098175455,1
"2172","ENSG00000225383,8","SFTA1P",-1.138170227,0.098766475,1
"2315","ENSG00000221869,5","CEBPD",0.741209928,0.10495038,1
"2330","ENSG00000158050,5","DUSP2",1.201566939,0.105606352,1
"2331","ENSG00000196843,17","ARID5A",0.452856591,0.10562703,1
"2470","ENSG00000154153,14","RETREG1",0.633988144,0.112602145,1
"2575","ENSG00000062524,16","LTK",0.576526664,0.117514088,1
"2705","ENSG00000128016,7","ZFP36",0.502166785,0.123138138,1
"2733","ENSG00000110723,12","EXPH5",-0.539481721,0.124030082,1
"2762","ENSG00000262152,7","GREP1",0.680970463,0.125232836,1
