gene_name	log2FoldChange	pvalue	padj
AGO1	-0,012813422	0,94147578	1
AGO2	0,422531899	0,033416498	1
AGO3	0,091039005	0,633202163	1
AGO4	0,07878413	0,626723891	1
7SK	2,247029924	0,714724421	1
7SK	-1,488981183	0,803123044	1
A1BG	0,172942769	0,635069069	1
A1BG-AS1	0,19202548	0,572069928	1
A1CF	1,104486038	0,859221612	1
A2M	0,892764388	0,093956879	1
A2M-AS1	-0,469518992	0,376533376	1
A2ML1	-0,202826078	0,973713629	1
A2ML1-AS2	1,500731063	0,809118948	1
A2MP1	-1,080584597	0,861904275	1
A3GALT2	0	1	1
A4GALT	0,540693851	0,145770794	1
AAAS	-0,014511924	0,92541719	1
AACS	0,132861155	0,427720015	1
AACSP1	-0,158255952	0,925059496	1
AADAC	-1,836037956	0,766901955	1
AADACL2	-1,847479808	0,765473894	1
AADACL2-AS1	0	1	1
AADACL4	-1,606424216	0,79375952	1
AADACP1	0	1	1
AADAT	-0,323827782	0,092953248	1
AAGAB	-0,188930506	0,224716667	1
AAK1	0,14279523	0,418234071	1
AAMDC	-0,09628129	0,676491181	1
AAMP	-0,004602287	0,978600191	1
AANAT	3,156051858	0,607611258	1
AAR2	0,009071541	0,954225773	1
AARD	-1,269924792	0,036824155	1
AARS1	-0,182129057	0,199634314	1
AARS2	0,222560398	0,246997996	1
AARSD1	-0,274795242	0,143956693	1
AARSD1P1	-0,68428817	0,612202807	1
AASDH	0,002125469	0,992437075	1
AASDHPPT	-0,172530121	0,222347931	1
AASS	0,03866342	0,837232278	1
AATF	-0,074055936	0,647253535	1
AATK	0,1415942	0,707265404	1
ABALON	-2,0081891	0,743733093	1
ABAT	0,124998988	0,459804096	1
ABCA1	0,375157239	0,162413953	1
ABCA10	-0,018999571	0,972989021	1
ABCA11P	-0,079786047	0,79198848	1
ABCA12	3,501646299	0,124152916	1
ABCA13	0,329736143	0,54318838	1
ABCA17P	0,911221794	0,516546944	1
ABCA2	0,130474261	0,497304841	1
ABCA3	0,213610027	0,343036118	1
ABCA4	0,312767534	0,526983687	1
ABCA5	0,220320368	0,466135209	1
ABCA6	-0,21756755	0,653926778	1
ABCA7	0,460492995	0,127346077	1
ABCA8	-0,237160804	0,287395495	1
ABCA9	-0,17326777	0,534994747	1
